code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL008004,AL,113.1993385,PINUS HALEPENSIS,1214.86,1042,1344,2medium,12511.08,37.31642,-2.60578,NA,1,0,1,0,3,0,0,1,0,2,3,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,phale,P. halepensis
AL008005,AL,23.292534200000002,PINUS PINASTER,1328.72,1204,1414,2medium,6940.31,37.31885,-2.64171,NA,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,ppinas,P. pinaster
AL008006,AL,27.896925500000002,PINUS PINASTER,1359.08,1295,1429,2medium,5081.44,37.31136,-2.65102,NA,4,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,3,1,ppinas,P. pinaster
AL008007,AL,140.6511268,PINUS PINASTER,1361.32,1180,1476,2medium,16600.04,37.30726,-2.63407,NA,3,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,2,ppinas,P. pinaster
AL008008,AL,115.5401489,PINUS PINASTER,1364.34,1205,1457,2medium,13278.92,37.30137,-2.61022,NA,3,0,0,0,3,0,0,1,0,3,1,0,0,0,0,1,2,0,0,0,0,0,3,0,2,3,ppinas,P. pinaster
AL008009,AL,30.8736287,PINUS PINASTER,1487.83,1172,1628,2medium,8641.47,37.29591,-2.64653,NA,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,ppinas,P. pinaster
AL008010,AL,134.38613270000002,PINUS PINASTER,1367.6,1117,1516,2medium,9232.62,37.29535,-2.59952,NA,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,ppinas,P. pinaster
AL008011,AL,79.13011879999999,PINUS PINASTER,1424.42,1237,1625,2medium,5290.84,37.2878,-2.62024,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,ppinas,P. pinaster
AL008012,AL,49.2905777,PINUS PINASTER,1399.95,1233,1544,2medium,6538.5,37.28534,-2.62972,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,ppinas,P. pinaster
AL008013,AL,100.4825689,PINUS NIGRA SSP SALZM.,1568.73,1379,1676,2medium,7816.71,37.28517,-2.65557,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,pnig_sal,P. nigra
